conceptFrom,conceptTo,frequency,metaOntology,metaName
Philippines Oil Pollution Compensation Act,Philippines_Oil_Pollution_Compensation_Act,1,UNKNOWN,
fund reserv,fund_reserv,1,UNKNOWN,
1992 Civil Liability Convention,1992_Civil_Liability_Convention,1,UNKNOWN,
1992 Fund Convention,1992_Fund_Convention,1,UNKNOWN,
Supplementary Fund Protocol,Supplementary_Fund_Protocol,1,UNKNOWN,
available fund,available_fund,1,UNKNOWN,
MANILA Philippines - Harbor Star,MANILA_Philippines_-_Harbor_Star,1,UNKNOWN,
initial siphon operations,initial_siphon_operations,2,UNKNOWN,
Lieutenant command Michael John,Lieutenant_command_Michael_John,1,UNKNOWN,
unnecessary movement,unnecessary_movement,1,UNKNOWN,
initial oil,initial_oil,1,UNKNOWN,
flow rate,flow_rate,1,UNKNOWN,
seal half,seal_half,1,UNKNOWN,
other half,other_half,1,UNKNOWN,
earlier estim,earlier_estim,1,UNKNOWN,
other troubl ships,other_troubl_ships,1,UNKNOWN,
seizure order,seizure_order,1,UNKNOWN,
NBI National Bureau,NBI_National_Bureau,1,UNKNOWN,
unregist vessel,unregist_vessel,1,UNKNOWN,
statement date July,statement_date_July,1,UNKNOWN,
chief engin,chief_engin,1,UNKNOWN,
heavy swells,heavy_swells,1,UNKNOWN,
prolong stay,prolong_stay,1,UNKNOWN,
successive waves,successive_waves,1,UNKNOWN,
1240 hours,1240_hours,1,UNKNOWN,
PCG report,PCG_report,1,UNKNOWN,
Ships Company incorpor,Ships_Company_incorpor,1,UNKNOWN,
Shogun Ships,Shogun_Ships,1,UNKNOWN,
local ship firm,local_ship_firm,1,UNKNOWN,
Exchange Commission SEC,Exchange_Commission_SEC,1,UNKNOWN,
primary purpose,primary_purpose,2,UNKNOWN,
general business,general_business,1,UNKNOWN,
domestic ship,domestic_ship,1,UNKNOWN,
class type,class_type,1,UNKNOWN,
domestic trade,domestic_trade,1,UNKNOWN,
such vessel,such_vessel,1,UNKNOWN,
Cordero family,Cordero_family,1,UNKNOWN,
Cordero Jr,Cordero_Jr,1,UNKNOWN,
Alliance Holdings,Alliance_Holdings,1,UNKNOWN,
Ships president,Ships_president,1,UNKNOWN,
companys total,companys_total,1,UNKNOWN,
Leonelle Mojal-Infante,Leonelle_Mojal-Infante,1,UNKNOWN,
Ship Management incorpor,Ship_Management_incorpor,1,UNKNOWN,
ship chandler,ship_chandler,1,UNKNOWN,
foreign ship corporation,foreign_ship_corporation,1,UNKNOWN,
companys revenue,companys_revenue,1,UNKNOWN,
SEC amount,SEC_amount,1,UNKNOWN,
vessel operations,vessel_operations,1,UNKNOWN,
crew management accord,crew_management_accord,1,UNKNOWN,
financial statements,financial_statements,1,UNKNOWN,
passeng sector,passeng_sector,1,UNKNOWN,
Island water,Island_water,2,UNKNOWN,
RoRo vessels,RoRo_vessels,2,UNKNOWN,
website Island water,website_Island_water,1,UNKNOWN,
high quality service,high_quality_service,1,UNKNOWN,
cruise ship,cruise_ship,1,UNKNOWN,
Puerto Galera,Puerto_Galera,1,UNKNOWN,
ferry service,ferry_service,1,UNKNOWN,
free rides,free_rides,1,UNKNOWN,
MV Island Sabtang,MV_Island_Sabtang,1,UNKNOWN,
first month,first_month,1,UNKNOWN,
answer questions,answer_questions,1,UNKNOWN,
next day,next_day,1,UNKNOWN,
